,outer_test_location,inner_val_region,f1,accuracy,precision,recall,auroc,best_n_estimators,best_max_depth,best_min_samples_leaf,AWEIp95
43,Vembanad,Inle,0.9089137847053093,0.9055078322385043,0.8851992409867173,0.933933933933934,0.9673285530428388,100,5,10,False
44,Vembanad,Mula,0.8884297520661157,0.8957528957528957,0.9217577706323687,0.8574277168494516,0.9431546333870233,100,5,10,False
45,Vembanad,RawaPening,0.957037037037037,0.9565434565434565,0.9472140762463344,0.9670658682634731,0.9868153692614771,100,5,10,False
46,Vembanad,Rodman,0.8819444444444444,0.8577405857740585,0.7918939984411536,0.9951028403525954,0.9375702833097543,100,5,10,False
47,Vembanad,Valsequillo,0.9503619441571872,0.9492868462757528,0.9387129724208376,0.962303664921466,0.9906038245570948,100,5,10,False
48,Vembanad,Winam,0.875,0.8689344672336168,0.8366788321167883,0.917,0.9409269269269269,100,5,10,False
49,Winam,Hartbeespoort,0.9382591093117408,0.9392127553562531,0.9517453798767967,0.9251497005988024,0.9813944250801878,200,5,10,False
50,Winam,Inle,0.9215781782756941,0.9186457806973218,0.8975332068311196,0.9469469469469469,0.9753426896284039,200,5,10,False
51,Winam,Mula,0.8891170431211499,0.8957528957528957,0.9164021164021164,0.8634097706879362,0.9414571999623208,200,5,10,False
52,Winam,RawaPening,0.947942488844819,0.9475524475524476,0.941871921182266,0.9540918163672655,0.9852465069860279,200,5,10,False
53,Winam,Rodman,0.8903508771929824,0.8692468619246861,0.8061953931691819,0.9941234084231146,0.9609843126003751,200,5,10,False
54,Winam,Valsequillo,0.9414838035527691,0.9408346539883783,0.9395203336809176,0.9434554973821989,0.9782259234865315,200,5,10,False
55,Winam,Vembanad,0.9354031046569855,0.9355644355644356,0.9386934673366835,0.9321357285429142,0.9785768463073852,200,5,10,False
