,run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size
10,T-Rod_V-Vem_15px_2026-07-22,15,Rodman,Vembanad,0.05553147941628397,0.06505737283297784,16,0.9770230054855347,0.9770458936691284,0.9770458936691284,0.9770458936691284,0.9967774152755737,0.9812268614768982,0.9811383485794067,0.978386402130127,0.9839057326316833,0.9978063106536865,0.29701407711980565,0.00029030701473594804,5.204950412995212e-06,64
11,T-Rod_V-Val_15px_2026-07-22,15,Rodman,Valsequillo,0.1667747251400814,0.14123150986783645,2,0.9460784196853638,0.9460254907608032,0.9469547867774963,0.9450980424880981,0.9885611534118652,0.9385479688644409,0.9379276037216187,0.9404383301734924,0.9354301691055298,0.98342365026474,0.29701407711980565,0.00029030701473594804,5.204950412995212e-06,64
12,T-Rod_V-Raw_15px_2026-07-22,15,Rodman,RawaPening,0.0789532462272221,0.09911747392523777,7,0.9665334820747375,0.9674282670021057,0.9431279897689819,0.9930139780044556,0.9957734942436218,0.9737340211868286,0.973542332649231,0.9733001589775085,0.9737846255302429,0.9953877925872803,0.29701407711980565,0.00029030701473594804,5.204950412995212e-06,64
13,T-Rod_V-Win_15px_2026-07-22,15,Rodman,Winam,0.07615712138458934,0.14893642354921927,9,0.9544772505760193,0.9545227289199829,0.9540459513664246,0.9549999833106995,0.986143171787262,0.9748929738998413,0.9747495651245117,0.9730578660964966,0.9764471650123596,0.9954370260238647,0.29701407711980565,0.00029030701473594804,5.204950412995212e-06,64
14,T-Mul_V-Har_15px_2026-07-22,15,Mula,Hartbeespoort,0.11467148816481966,0.13202545105838986,3,0.9493110179901123,0.9470437169075012,0.9766702055931091,0.9191616773605347,0.9922029376029968,0.9603641033172607,0.9604033827781677,0.960006594657898,0.9608005285263062,0.9910048246383667,0.3915741122102389,0.0012123634441485443,0.0008826466130239893,64
15,T-Mul_V-Rod_15px_2026-07-22,15,Mula,Rodman,0.04417893609737757,0.13983660190567798,14,0.9510284066200256,0.9518304467201233,0.937381386756897,0.9667319059371948,0.9897202849388123,0.9852588176727295,0.9852502346038818,0.9839457273483276,0.9865582585334778,0.9983789920806885,0.3915741122102389,0.0012123634441485443,0.0008826466130239893,64
16,T-Mul_V-Inl_15px_2026-07-22,15,Mula,Inle,0.044618184489563194,0.053510958140250295,16,0.9829999804496765,0.9831516146659851,0.974459707736969,0.9919999837875366,0.998570442199707,0.985805094242096,0.9857991933822632,0.9844986796379089,0.9871031641960144,0.9984168410301208,0.3915741122102389,0.0012123634441485443,0.0008826466130239893,64
17,T-Mul_V-Vem_15px_2026-07-22,15,Mula,Vembanad,0.030578546014776223,0.06806227116083557,26,0.9790209531784058,0.9790627956390381,0.9780876636505127,0.9800398945808411,0.9955259561538696,0.9902600049972534,0.9902495741844177,0.9894319772720337,0.9910684823989868,0.9993073344230652,0.3915741122102389,0.0012123634441485443,0.0008826466130239893,64
18,T-Mul_V-Val_15px_2026-07-22,15,Mula,Valsequillo,0.04225981367741623,0.2605763847738797,15,0.9308823347091675,0.9286075830459595,0.9602094292640686,0.8990195989608765,0.9748952388763428,0.9841848015785217,0.984169065952301,0.9834354519844055,0.9849037528038025,0.9987543821334839,0.3915741122102389,0.0012123634441485443,0.0008826466130239893,64
19,T-Mul_V-Raw_15px_2026-07-22,15,Mula,RawaPening,0.05199543706491571,0.09184755238664377,11,0.9665334820747375,0.9669787883758545,0.9552093744277954,0.9790419340133667,0.9956357479095459,0.9834089875221252,0.9834035038948059,0.9818631410598755,0.9849487543106079,0.9975656270980835,0.3915741122102389,0.0012123634441485443,0.0008826466130239893,64
