,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
45,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210906T164722_20210906T164747_039563_04AD2B_F0D6,1630946842000,COPERNICUS/S2_SR_HARMONIZED/20210906T075609_20210906T081827_T35JNM,1630916837188,0.000191,2021-09-06,Hartbeespoort
46,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20211107T033456_20211107T033521_029476_038483_59E3,1636256096000,COPERNICUS/S2_SR_HARMONIZED/20211107T075131_20211107T081054_T35JNM,1636273048262,13.453296,2021-11-07,Hartbeespoort
47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211117T164723_20211117T164748_040613_04D16D_91E1,1637167643000,COPERNICUS/S2_SR_HARMONIZED/20211117T075211_20211117T081050_T35JNM,1637137045507,8.977794,2021-11-17,Hartbeespoort
48,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220504T164720_20220504T164745_043063_05247B_6622,1651682840000,COPERNICUS/S2_SR_HARMONIZED/20220504T075609_20220504T081906_T35JNM,1651652835932,13.602166,2022-05-04,Hartbeespoort
49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220516T164705_20220516T164730_043238_0529F6_7CE0,1652719625000,COPERNICUS/S2_SR_HARMONIZED/20220516T074621_20220516T081156_T35JNM,1652689049899,8.299405,2022-05-16,Hartbeespoort
50,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220703T164708_20220703T164733_043938_053EC0_A591,1656866828000,COPERNICUS/S2_SR_HARMONIZED/20220703T075619_20220703T082133_T35JNM,1656836845734,0.016121,2022-07-03,Hartbeespoort
51,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220715T164709_20220715T164734_044113_0543FD_2555,1657903629000,COPERNICUS/S2_SR_HARMONIZED/20220715T074621_20220715T080904_T35JNM,1657873057499,0.001692,2022-07-15,Hartbeespoort
52,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220901T164711_20220901T164736_044813_055A18_C754,1662050831000,COPERNICUS/S2_SR_HARMONIZED/20220901T075609_20220901T082129_T35JNM,1662020841852,0.005951,2022-09-01,Hartbeespoort
53,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230111T164709_20230111T164734_046738_059A6B_8B8C,1673455629000,COPERNICUS/S2_SR_HARMONIZED/20230111T075301_20230111T081233_T35JNM,1673425043067,0.073979,2023-01-11,Hartbeespoort
54,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230228T164708_20230228T164733_047438_05B1FF_6799,1677602828000,COPERNICUS/S2_SR_HARMONIZED/20230228T075849_20230228T081803_T35JNM,1677572841457,0.080924,2023-02-28,Hartbeespoort
55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230312T164708_20230312T164733_047613_05B7E9_B297,1678639628000,COPERNICUS/S2_SR_HARMONIZED/20230312T074711_20230312T081146_T35JNM,1678609041026,4.760206,2023-03-12,Hartbeespoort
56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230429T164709_20230429T164734_048313_05CF80_EF1E,1682786829000,COPERNICUS/S2_SR_HARMONIZED/20230429T075609_20230429T082129_T35JNM,1682756842567,0.004341,2023-04-29,Hartbeespoort
57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230511T164710_20230511T164735_048488_05D52A_6347,1683823630000,COPERNICUS/S2_SR_HARMONIZED/20230511T074611_20230511T081143_T35JNM,1683793044137,0.001238,2023-05-11,Hartbeespoort
58,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230827T164716_20230827T164741_050063_06062F_6731,1693154836000,COPERNICUS/S2_SR_HARMONIZED/20230827T075609_20230827T082109_T35JNM,1693124845064,0.563903,2023-08-27,Hartbeespoort
59,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240106T164714_20240106T164739_051988_064847_D57F,1704559634000,COPERNICUS/S2_SR_HARMONIZED/20240106T075321_20240106T081238_T35JNM,1704529041205,4.668802,2024-01-06,Hartbeespoort
60,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240223T164713_20240223T164738_052688_065FFB_72D6,1708706833000,COPERNICUS/S2_SR_HARMONIZED/20240223T075929_20240223T082123_T35JNM,1708676840836,0.680999,2024-02-23,Hartbeespoort
61,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240306T164713_20240306T164738_052863_0665EF_EDB6,1709743633000,COPERNICUS/S2_SR_HARMONIZED/20240306T074801_20240306T081145_T35JNM,1709713045575,0.001742,2024-03-06,Hartbeespoort
62,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240423T164714_20240423T164739_053563_06808F_ACBE,1713890834000,COPERNICUS/S2_SR_HARMONIZED/20240423T075609_20240423T082122_T35JNM,1713860840251,0.000128,2024-04-23,Hartbeespoort
63,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240505T164715_20240505T164740_053738_068776_E329,1714927635000,COPERNICUS/S2_SR_HARMONIZED/20240505T074611_20240505T081146_T35JNM,1714897047784,0.001839,2024-05-05,Hartbeespoort
64,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240622T164713_20240622T164738_054438_069FC5_3116,1719074833000,COPERNICUS/S2_SR_HARMONIZED/20240622T075609_20240622T082125_T35JNM,1719044843209,0.000293,2024-06-22,Hartbeespoort
65,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240704T164712_20240704T164737_054613_06A5E0_616F,1720111632000,COPERNICUS/S2_SR_HARMONIZED/20240704T074611_20240704T081136_T35JNM,1720081048588,2.144169,2024-07-04,Hartbeespoort
66,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240821T164712_20240821T164737_055313_06BE94_F318,1724258832000,COPERNICUS/S2_SR_HARMONIZED/20240821T075609_20240821T081957_T35JNM,1724228840846,0.009117,2024-08-21,Hartbeespoort
67,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240902T164712_20240902T164737_055488_06C514_B0C1,1725295632000,COPERNICUS/S2_SR_HARMONIZED/20240902T074611_20240902T080622_T35JNM,1725265044782,0.001636,2024-09-02,Hartbeespoort
68,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241101T164713_20241101T164738_056363_06E7B0_7227,1730479633000,COPERNICUS/S2_SR_HARMONIZED/20241101T075051_20241101T081144_T35JNM,1730449044841,0.000977,2024-11-01,Hartbeespoort
69,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250430T164707_20250430T164732_058988_0750C8_4E7C,1746031627000,COPERNICUS/S2_SR_HARMONIZED/20250430T074631_20250430T081032_T35JNM,1746001066923,3.663173,2025-04-30,Hartbeespoort
70,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250512T164707_20250512T164732_059163_07574D_9DA7,1747068427000,COPERNICUS/S2_SR_HARMONIZED/20250512T075021_20250512T081357_T35JNM,1747037858539,5.357971,2025-05-12,Hartbeespoort
71,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250617T164705_20250617T164730_059688_076967_1679,1750178825000,COPERNICUS/S2_SR_HARMONIZED/20250617T075609_20250617T082531_T35JNM,1750148840389,0.000212,2025-06-17,Hartbeespoort
72,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250629T164704_20250629T164729_059863_076F7D_C235,1751215624000,COPERNICUS/S2_SR_HARMONIZED/20250629T074631_20250629T081419_T35JNM,1751185066334,0.012782,2025-06-29,Hartbeespoort
73,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250711T164704_20250711T164729_060038_077584_0847,1752252424000,COPERNICUS/S2_SR_HARMONIZED/20250711T075031_20250711T081403_T35JNM,1752221864149,0.044091,2025-07-11,Hartbeespoort
74,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250828T164703_20250828T164728_060738_078F3D_DE3C,1756399623000,COPERNICUS/S2_SR_HARMONIZED/20250828T074631_20250828T081417_T35JNM,1756369064180,0.000658,2025-08-28,Hartbeespoort
75,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20251015T164704_20251015T164729_061438_07AB54_7EB5,1760546824000,COPERNICUS/S2_SR_HARMONIZED/20251015T075819_20251015T082224_T35JNM,1760516840317,18.953529,2025-10-15,Hartbeespoort
76,COPERNICUS/S1_GRD/S1C_IW_GRDH_1SDV_20251017T033433_20251017T033458_004596_00916C_37EF,1760672073000,COPERNICUS/S2_SR_HARMONIZED/20251017T074931_20251017T081408_T35JNM,1760689055693,14.704905,2025-10-17,Hartbeespoort
