,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
62,COPERNICUS/S2_SR_HARMONIZED/20210222T050821_20210222T051546_T43PFL,1613971580801,4.8001,2021-02-22,Vembanad,,
63,COPERNICUS/S2_SR_HARMONIZED/20210227T050749_20210227T052340_T43PFL,1614403579869,11.555306,2021-02-27,Vembanad,,
64,COPERNICUS/S2_SR_HARMONIZED/20210304T050711_20210304T052545_T43PFL,1614835581095,0.248038,2021-03-04,Vembanad,,
65,COPERNICUS/S2_SR_HARMONIZED/20210309T050649_20210309T051857_T43PFL,1615267580464,16.020861,2021-03-09,Vembanad,,
66,COPERNICUS/S2_SR_HARMONIZED/20210314T050651_20210314T051944_T43PFL,1615699580731,2.112914,2021-03-14,Vembanad,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210314T004059_20210314T004124_036987_045A2B_578D,1615682459000.0
67,COPERNICUS/S2_SR_HARMONIZED/20210324T050651_20210324T052157_T43PFL,1616563579679,20.287975,2021-03-24,Vembanad,,
68,COPERNICUS/S2_SR_HARMONIZED/20210329T050649_20210329T051842_T43PFL,1616995579741,24.087834,2021-03-29,Vembanad,,
69,COPERNICUS/S2_SR_HARMONIZED/20210403T050651_20210403T052152_T43PFL,1617427577965,22.913255,2021-04-03,Vembanad,,
70,COPERNICUS/S2_SR_HARMONIZED/20210518T050649_20210518T051922_T43PFL,1621315576707,19.051136,2021-05-18,Vembanad,,
71,COPERNICUS/S2_SR_HARMONIZED/20210528T050659_20210528T052104_T43PFL,1622179581828,27.683336,2021-05-28,Vembanad,,
72,COPERNICUS/S2_SR_HARMONIZED/20210602T050651_20210602T052044_T43PFL,1622611582047,23.870134,2021-06-02,Vembanad,,
73,COPERNICUS/S2_SR_HARMONIZED/20210607T050659_20210607T051747_T43PFL,1623043582254,18.915964,2021-06-07,Vembanad,,
74,COPERNICUS/S2_SR_HARMONIZED/20211209T051211_20211209T052432_T43PFL,1639027579846,12.776769,2021-12-09,Vembanad,,
75,COPERNICUS/S2_SR_HARMONIZED/20211219T051231_20211219T051225_T43PFL,1639891581867,5.501735,2021-12-19,Vembanad,,
76,COPERNICUS/S2_SR_HARMONIZED/20211224T051219_20211224T051734_T43PFL,1640323576363,1.641047,2021-12-24,Vembanad,,
77,COPERNICUS/S2_SR_HARMONIZED/20211229T051231_20211229T052430_T43PFL,1640755582844,1.465819,2021-12-29,Vembanad,,
78,COPERNICUS/S2_SR_HARMONIZED/20220103T051209_20220103T052453_T43PFL,1641187577240,3.72701,2022-01-03,Vembanad,,
79,COPERNICUS/S2_SR_HARMONIZED/20220113T051149_20220113T052046_T43PFL,1642051577086,1.858382,2022-01-13,Vembanad,,
80,COPERNICUS/S2_SR_HARMONIZED/20220118T051141_20220118T052520_T43PFL,1642483581550,0.127948,2022-01-18,Vembanad,,
81,COPERNICUS/S2_SR_HARMONIZED/20220128T051051_20220128T051053_T43PFL,1643347581332,3.263038,2022-01-28,Vembanad,,
82,COPERNICUS/S2_SR_HARMONIZED/20220202T051019_20220202T051818_T43PFL,1643779575491,3.156525,2022-02-02,Vembanad,,
83,COPERNICUS/S2_SR_HARMONIZED/20220207T051001_20220207T050958_T43PFL,1644211580654,26.81601,2022-02-07,Vembanad,,
84,COPERNICUS/S2_SR_HARMONIZED/20220212T050919_20220212T052354_T43PFL,1644643575329,22.754024,2022-02-12,Vembanad,,
85,COPERNICUS/S2_SR_HARMONIZED/20220222T050819_20220222T051816_T43PFL,1645507576049,18.606965,2022-02-22,Vembanad,,
86,COPERNICUS/S2_SR_HARMONIZED/20220227T050751_20220227T052132_T43PFL,1645939584271,2.166885,2022-02-27,Vembanad,,
87,COPERNICUS/S2_SR_HARMONIZED/20220309T050701_20220309T051750_T43PFL,1646803585262,3.080339,2022-03-09,Vembanad,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220309T004105_20220309T004130_042237_0508B6_CFED,1646786465000.0
88,COPERNICUS/S2_SR_HARMONIZED/20220314T050649_20220314T052555_T43PFL,1647235579313,0.176204,2022-03-14,Vembanad,,
89,COPERNICUS/S2_SR_HARMONIZED/20220329T050701_20220329T051943_T43PFL,1648531583708,22.022273,2022-03-29,Vembanad,,
90,COPERNICUS/S2_SR_HARMONIZED/20220403T050649_20220403T052133_T43PFL,1648963577896,28.445411,2022-04-03,Vembanad,,
91,COPERNICUS/S2_SR_HARMONIZED/20220816T050711_20220816T052442_T43PFL,1660627593727,3.047218,2022-08-16,Vembanad,,
92,COPERNICUS/S2_SR_HARMONIZED/20220915T050701_20220915T052443_T43PFL,1663219590772,28.76614,2022-09-15,Vembanad,,
93,COPERNICUS/S2_SR_HARMONIZED/20220925T050701_20220925T052437_T43PFL,1664083588352,20.179054,2022-09-25,Vembanad,,
94,COPERNICUS/S2_SR_HARMONIZED/20221224T051221_20221224T052359_T43PFL,1671859579133,4.61162,2022-12-24,Vembanad,,
95,COPERNICUS/S2_SR_HARMONIZED/20221229T051219_20221229T052344_T43PFL,1672291580351,21.061993,2022-12-29,Vembanad,,
96,COPERNICUS/S2_SR_HARMONIZED/20230103T051221_20230103T052338_T43PFL,1672723580272,0.544959,2023-01-03,Vembanad,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230103T004116_20230103T004141_046612_059621_F20C,1672706476000.0
97,COPERNICUS/S2_SR_HARMONIZED/20230108T051209_20230108T052433_T43PFL,1673155578307,0.001626,2023-01-08,Vembanad,,
98,COPERNICUS/S2_SR_HARMONIZED/20230123T051111_20230123T052031_T43PFL,1674451577405,13.137034,2023-01-23,Vembanad,,
99,COPERNICUS/S2_SR_HARMONIZED/20230128T051049_20230128T052242_T43PFL,1674883578928,6.050841,2023-01-28,Vembanad,,
100,COPERNICUS/S2_SR_HARMONIZED/20230212T050931_20230212T052542_T43PFL,1676179579396,12.135605,2023-02-12,Vembanad,,
101,COPERNICUS/S2_SR_HARMONIZED/20230217T050859_20230217T052451_T43PFL,1676611579305,5.526401,2023-02-17,Vembanad,,
102,COPERNICUS/S2_SR_HARMONIZED/20230227T050749_20230227T052458_T43PFL,1677475581969,1.671545,2023-02-27,Vembanad,,
103,COPERNICUS/S2_SR_HARMONIZED/20230304T050711_20230304T051951_T43PFL,1677907577932,0.493493,2023-03-04,Vembanad,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230304T004114_20230304T004139_047487_05B399_70E5,1677890474000.0
104,COPERNICUS/S2_SR_HARMONIZED/20230309T050659_20230309T052025_T43PFL,1678339585110,5.702033,2023-03-09,Vembanad,,
105,COPERNICUS/S2_SR_HARMONIZED/20230314T050651_20230314T051815_T43PFL,1678771578013,21.420249,2023-03-14,Vembanad,,
106,COPERNICUS/S2_SR_HARMONIZED/20230403T050651_20230403T052433_T43PFL,1680499580488,20.833296,2023-04-03,Vembanad,,
107,COPERNICUS/S2_SR_HARMONIZED/20230408T050659_20230408T051911_T43PFL,1680931583630,16.894537,2023-04-08,Vembanad,,
108,COPERNICUS/S2_SR_HARMONIZED/20230413T050651_20230413T052406_T43PFL,1681363581279,13.001193,2023-04-13,Vembanad,,
109,COPERNICUS/S2_SR_HARMONIZED/20230418T050659_20230418T051910_T43PFL,1681795582868,12.930503,2023-04-18,Vembanad,,
110,COPERNICUS/S2_SR_HARMONIZED/20230523T050651_20230523T052413_T43PFL,1684819584307,7.246384,2023-05-23,Vembanad,,
111,COPERNICUS/S2_SR_HARMONIZED/20230816T050659_20230816T051547_T43PFL,1692163586735,23.459294,2023-08-16,Vembanad,,
112,COPERNICUS/S2_SR_HARMONIZED/20230821T050701_20230821T052134_T43PFL,1692595587392,23.029467,2023-08-21,Vembanad,,
113,COPERNICUS/S2_SR_HARMONIZED/20230826T050659_20230826T051546_T43PFL,1693027585448,29.456374,2023-08-26,Vembanad,,
114,COPERNICUS/S2_SR_HARMONIZED/20231005T050649_20231005T051842_T43PFL,1696483581150,29.658964,2023-10-05,Vembanad,,
115,COPERNICUS/S2_SR_HARMONIZED/20231010T050721_20231010T051635_T43PFL,1696915580257,14.95631,2023-10-10,Vembanad,,
116,COPERNICUS/S2_SR_HARMONIZED/20231025T050859_20231025T051705_T43PFL,1698211582036,20.139782,2023-10-25,Vembanad,,
117,COPERNICUS/S2_SR_HARMONIZED/20231214T051219_20231214T052420_T43PFL,1702531579543,0.00143,2023-12-14,Vembanad,,
118,COPERNICUS/S2_SR_HARMONIZED/20231219T051221_20231219T052449_T43PFL,1702963577370,7.804221,2023-12-19,Vembanad,,
119,COPERNICUS/S2_SR_HARMONIZED/20231224T051229_20231224T051847_T43PFL,1703395582503,0.175503,2023-12-24,Vembanad,,
