,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
12,COPERNICUS/S2_SR_HARMONIZED/20200208T160419_20200208T160420_T17RMN,1581178509111,0.003404,2020-02-08,Rodman,,
13,COPERNICUS/S2_SR_HARMONIZED/20200228T160119_20200228T161228_T17RMN,1582906511909,2.179346,2020-02-28,Rodman,,
14,COPERNICUS/S2_SR_HARMONIZED/20200314T160021_20200314T160651_T17RMN,1584202510859,5.00354,2020-03-14,Rodman,,
15,COPERNICUS/S2_SR_HARMONIZED/20200403T155901_20200403T160717_T17RMN,1585930510742,3.032767,2020-04-03,Rodman,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200403T232915_20200403T232940_031970_03B12E_AE64,1585956555000.0
16,COPERNICUS/S2_SR_HARMONIZED/20200503T155911_20200503T160537_T17RMN,1588522518081,0.386854,2020-05-03,Rodman,,
17,COPERNICUS/S2_SR_HARMONIZED/20200622T155911_20200622T161006_T17RMN,1592842520385,8.301868,2020-06-22,Rodman,,
18,COPERNICUS/S2_SR_HARMONIZED/20200801T155911_20200801T160644_T17RMN,1596298520477,1.676939,2020-08-01,Rodman,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200801T232921_20200801T232946_033720_03E87E_4D55,1596324561000.0
19,COPERNICUS/S2_SR_HARMONIZED/20200905T155829_20200905T161415_T17RMN,1599322517475,8.646633,2020-09-05,Rodman,,
20,COPERNICUS/S2_SR_HARMONIZED/20201030T160411_20201030T160857_T17RMN,1604074519752,0.003467,2020-10-30,Rodman,,
21,COPERNICUS/S2_SR_HARMONIZED/20201209T160641_20201209T161352_T17RMN,1607530511347,0.005826,2020-12-09,Rodman,,
22,COPERNICUS/S2_SR_HARMONIZED/20210118T160611_20210118T161255_T17RMN,1610986515444,0.030252,2021-01-18,Rodman,,
23,COPERNICUS/S2_SR_HARMONIZED/20210128T160521_20210128T161127_T17RMN,1611850514963,5.902044,2021-01-28,Rodman,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210128T232921_20210128T232946_036345_0443C5_7997,1611876561000.0
24,COPERNICUS/S2_SR_HARMONIZED/20210202T160459_20210202T160957_T17RMN,1612282514137,4.927031,2021-02-02,Rodman,,
25,COPERNICUS/S2_SR_HARMONIZED/20210304T160039_20210304T161453_T17RMN,1614874513693,0.009021,2021-03-04,Rodman,,
26,COPERNICUS/S2_SR_HARMONIZED/20210314T155929_20210314T160346_T17RMN,1615738513968,3.986354,2021-03-14,Rodman,,
27,COPERNICUS/S2_SR_HARMONIZED/20210319T155951_20210319T161024_T17RMN,1616170513638,0.023368,2021-03-19,Rodman,,
28,COPERNICUS/S2_SR_HARMONIZED/20210413T155819_20210413T161213_T17RMN,1618330510807,2.140637,2021-04-13,Rodman,,
29,COPERNICUS/S2_SR_HARMONIZED/20210503T155819_20210503T160906_T17RMN,1620058511384,0.028593,2021-05-03,Rodman,,
30,COPERNICUS/S2_SR_HARMONIZED/20210508T155901_20210508T160745_T17RMN,1620490513610,0.017283,2021-05-08,Rodman,,
