system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
5_1754_0,1548,826,462,690,405,979,2352,2742,2770,2834,1,LEV,VE0105_20230103,9.660830851436291,0,Vembanad,76.43469077994155,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1755_0,1631,856,457,622,452,913,1780,2090,2324,2235,1,LEV,VE0106_20230103,9.6431461727347,0,Vembanad,76.42791178993578,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1756_0,1495,903,526,661,549,874,1363,1472,1476,1541,1,LEV,VE0107_20230103,9.641707665234046,0,Vembanad,76.43511982994188,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1757_0,2001,982,439,684,364,962,3024,3840,3704,4036,1,LEV,VE0108_20230103,9.63358421363021,0,Vembanad,76.44052585994649,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1758_0,1624,907,605,722,604,899,2005,2480,2656,2741,1,LEV,VE0109_20230103,9.645684700412597,0,Vembanad,76.37153461988797,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1759_0,1637,806,528,730,522,1156,2762,3208,2710,3378,1,LEV,VE0110_20230103,9.661000078325836,0,Vembanad,76.38500678989938,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1760_0,1365,633,435,602,415,856,2161,2424,2878,2722,1,LEV,VE0111_20230103,9.63451503571342,0,Vembanad,76.37711226989266,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1761_0,1522,800,456,593,442,910,2091,2647,2338,2972,1,LEV,VE0112_20230103,9.631214832363275,0,Vembanad,76.37750856255508,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1762_0,1613,882,764,794,672,929,2209,2801,2208,3045,1,LEV,VE0113_20230103,9.626052918013611,0,Vembanad,76.37680063005446,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1763_0,1499,747,427,559,360,860,2158,2622,2756,2936,1,LEV,VE0114_20230103,9.63280147050946,0,Vembanad,76.37950364505676,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
