system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_35_0,236,129,259,487,244,426,749,860,1380,806,3,floating_plants,RO0036_20241024,29.516754596955877,1,Rodman,-81.86387565302903,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_0,448,190,366,683,363,623,1274,1655,3144,1754,3,floating_plants,RO0037_20241024,29.515447498480174,1,Rodman,-81.86668593053142,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37_0,462,221,356,650,398,735,1453,1783,2272,1645,3,floating_plants,RO0038_20241024,29.515512853804903,1,Rodman,-81.86755475678214,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38_0,375,211,268,472,275,834,1121,1349,1630,1644,3,floating_plants,RO0039_20241024,29.515326124193727,1,Rodman,-81.86911006303347,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39_0,483,221,380,761,421,795,1618,1730,2744,1830,3,floating_plants,RO0040_20241024,29.51513939423801,1,Rodman,-81.87004324678426,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40_0,508,242,331,686,357,593,1792,1909,3204,2017,3,floating_plants,RO0041_20241024,29.51672658796398,1,Rodman,-81.85356649063816,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41_0,203,84,254,434,244,275,497,982,1832,623,3,floating_plants,RO0042_20241024,29.516474505930702,1,Rodman,-81.85546503688977,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_42_0,80,35,179,219,145,158,269,243,478,370,3,floating_plants,RO0043_20241024,29.51810835995762,1,Rodman,-81.85005700011001,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_43_0,223,96,284,450,236,345,757,826,2046,779,3,floating_plants,RO0044_20241024,29.520638447541753,1,Rodman,-81.83993983442231,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44_0,111,82,218,342,170,173,522,674,1338,569,3,floating_plants,RO0045_20241024,29.519826212363416,1,Rodman,-81.84211726317416,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_45_0,122,63,230,299,189,291,395,564,780,509,3,floating_plants,RO0046_20241024,29.521067902587237,1,Rodman,-81.83913536567162,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46_0,178,97,199,280,181,381,538,701,781,710,3,floating_plants,RO0047_20241024,29.52110524641812,1,Rodman,-81.83820218192085,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_47_0,136,61,200,252,135,236,479,617,674,574,3,floating_plants,RO0048_20241024,29.520750479468475,1,Rodman,-81.83407257566732,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_48_0,128,67,206,262,162,285,463,507,690,459,3,floating_plants,RO0049_20241024,29.520208990673552,1,Rodman,-81.8343729106676,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_49_0,81,42,166,173,118,177,281,322,465,301,3,floating_plants,RO0050_20241024,29.521282629426455,1,Rodman,-81.83623927816917,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50_0,523,250,396,717,450,1018,1726,1762,2486,1839,3,floating_plants,RO0051_20241024,29.519910236994576,1,Rodman,-81.83293559316635,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_51_0,631,322,423,850,460,1111,2034,2280,2984,2314,3,floating_plants,RO0052_20241024,29.519956917327313,1,Rodman,-81.83175368595995,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52_0,531,262,381,742,454,910,1712,1853,2364,1800,3,floating_plants,RO0053_20241024,29.519340735362924,1,Rodman,-81.83193603221011,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_53_0,457,220,311,536,320,777,1256,1699,1676,1637,3,floating_plants,RO0054_20241024,29.518873928346427,1,Rodman,-81.83161424470983,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_54_0,261,133,221,304,204,505,922,925,880,984,3,floating_plants,RO0055_20241024,29.51826707600563,1,Rodman,-81.83135681470961,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55_0,445,211,343,602,369,865,1602,1382,2004,1487,3,floating_plants,RO0056_20241024,29.51979820414979,1,Rodman,-81.82999458095846,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_56_0,236,122,212,302,175,443,707,862,821,870,3,floating_plants,RO0057_20241024,29.520591767547963,1,Rodman,-81.83090631220922,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_57_0,147,79,181,243,155,286,431,545,590,477,3,floating_plants,RO0058_20241024,29.52013430234876,1,Rodman,-81.82902921845762,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_58_0,180,109,266,425,256,368,646,674,1122,716,3,floating_plants,RO0059_20241024,29.51928471863464,1,Rodman,-81.82724866095613,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_59_0,76,42,178,178,114,142,219,341,413,310,3,floating_plants,RO0060_20241024,29.51820172245957,1,Rodman,-81.83046653595886,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_60_0,98,48,168,177,114,197,318,404,518,380,3,floating_plants,RO0061_20241024,29.518481808788408,1,Rodman,-81.82764553220646,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_61_0,113,66,204,261,164,253,396,443,634,419,3,floating_plants,RO0062_20241024,29.518127032640933,1,Rodman,-81.8255539134547,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62_0,198,89,193,279,190,372,587,696,680,690,3,floating_plants,RO0063_20241024,29.517501503028424,1,Rodman,-81.82408193976711,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_63_0,1191,592,504,1006,600,1731,3291,3650,3712,3797,3,floating_plants,RO0064_20241024,29.50690426029702,1,Rodman,-81.80823668503923,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_64_0,1447,733,566,1114,656,1838,3706,4154,4264,4381,3,floating_plants,RO0065_20241024,29.507688587603067,1,Rodman,-81.8066706525379,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_65_0,1196,570,499,1040,620,1768,3442,3788,3892,3977,3,floating_plants,RO0066_20241024,29.50873434789223,1,Rodman,-81.80761456253872,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_66_0,1302,614,505,1042,640,1735,3711,4310,4532,4606,3,floating_plants,RO0067_20241024,29.50916385345289,1,Rodman,-81.80568383753706,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67_0,954,459,451,899,540,1393,2683,3061,3256,3155,3,floating_plants,RO0068_20241024,29.5101909245784,1,Rodman,-81.8051475250366,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68_0,1136,549,471,943,584,1658,3113,3355,3376,3673,3,floating_plants,RO0069_20241024,29.509985511186954,1,Rodman,-81.8039461850356,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69_0,1381,654,511,1064,615,1831,3763,4255,4124,4401,3,floating_plants,RO0070_20241024,29.50316928500552,1,Rodman,-81.81379288254395,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70_0,895,452,477,988,586,1457,2739,3304,3552,3068,3,floating_plants,RO0071_20241024,29.5041217167921,1,Rodman,-81.81325657004348,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_71_0,1401,675,534,1076,629,1796,3926,4464,4568,4734,3,floating_plants,RO0072_20241024,29.504943415448352,1,Rodman,-81.81922036504855,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_72_0,1155,553,538,1060,646,1651,3117,3544,3964,3658,3,floating_plants,RO0073_20241024,29.503990991391028,1,Rodman,-81.81720383004684,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73_0,818,381,445,934,566,1531,2465,2918,3208,2406,3,floating_plants,RO0074_20241024,29.519583474037706,1,Rodman,-81.8065008220847,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_74_0,1081,536,494,916,653,1660,2746,3158,3348,3228,3,floating_plants,RO0075_20241024,29.51730544087503,1,Rodman,-81.8061790345844,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_75_0,1256,623,550,1140,662,1737,3671,3988,4364,3991,3,floating_plants,RO0076_20241024,29.508454234360357,1,Rodman,-81.82984404882521,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_76_0,1011,495,504,1078,656,1230,2161,2788,4036,2766,3,floating_plants,RO0077_20241024,29.510190924350443,1,Rodman,-81.84005543883389,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_77_0,1201,530,592,1182,724,1857,3644,4195,4596,4387,3,floating_plants,RO0078_20241024,29.508622302444483,1,Rodman,-81.84284708263127,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_78_0,1363,666,612,1274,727,1866,4018,4742,5412,4791,3,floating_plants,RO0079_20241024,29.508304840290112,1,Rodman,-81.84570026513369,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_79_0,1507,714,567,1124,654,1921,4212,4893,4892,5030,3,floating_plants,RO0080_20241024,29.508584954007397,1,Rodman,-81.8469016051347,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_80_0,1126,574,589,1208,686,1812,3550,3908,4508,4119,3,floating_plants,RO0081_20241024,29.50873434767305,1,Rodman,-81.84216060263068,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_81_0,757,374,412,825,463,1388,2489,2689,2872,2820,3,floating_plants,RO0082_20241024,29.509910815085707,1,Rodman,-81.84351211013181,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82_0,1171,535,529,1036,602,1622,3628,4149,4204,3995,3,floating_plants,RO0083_20241024,29.510937879216492,1,Rodman,-81.85409185966036,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_83_0,538,292,369,714,424,1117,1705,2126,2578,2142,3,floating_plants,RO0084_20241024,29.51198360593923,1,Rodman,-81.8478920871551,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84_0,326,172,360,684,379,671,1104,1392,2054,1262,3,floating_plants,RO0085_20241024,29.512898607959418,1,Rodman,-81.84973700215667,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_85_0,142,64,220,299,216,318,417,394,1134,602,3,floating_plants,RO0086_20241024,29.512805240785287,1,Rodman,-81.84705543965438,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_86_0,1432,686,619,1302,806,2113,4017,4388,4576,4530,3,floating_plants,RO0087_20241024,29.515830293568044,1,Rodman,-81.88780197117364,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87_0,1413,697,632,1326,821,2226,3974,4377,4572,4614,3,floating_plants,RO0088_20241024,29.515643564542547,1,Rodman,-81.8869438711729,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88_0,1421,689,610,1296,822,2109,4010,4523,4592,4637,3,floating_plants,RO0089_20241024,29.5157182561941,1,Rodman,-81.88591415117205,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_89_0,1293,647,524,1092,628,1890,3646,4162,4408,4471,3,floating_plants,RO0090_20241024,29.51256248588204,1,Rodman,-81.8872442061732,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90_0,986,508,500,990,556,1505,3079,3196,3772,3533,3,floating_plants,RO0091_20241024,29.511666154478643,1,Rodman,-81.88672934617276,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_91_0,1307,621,496,1094,584,1784,3903,4279,4396,4360,3,floating_plants,RO0092_20241024,29.511871564459646,1,Rodman,-81.8885742611743,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_92_0,1069,472,512,1110,571,1447,3151,3699,4288,3522,3,floating_plants,RO0093_20241024,29.516726588094613,1,Rodman,-81.89951503618357,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93_0,988,502,474,949,558,1542,2970,3300,3664,3437,3,floating_plants,RO0094_20241024,29.51104992203463,1,Rodman,-81.89297202367804,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_94_0,1355,636,549,1142,677,1944,3863,4324,4296,4510,3,floating_plants,RO0095_20241024,29.508790370952745,1,Rodman,-81.89820835253192,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95_0,1338,648,521,1116,664,1856,3976,4395,4300,4437,3,floating_plants,RO0096_20241024,29.516185077742755,1,Rodman,-81.9036143825365,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96_0,1210,599,520,988,715,1531,2673,3079,3384,3500,3,floating_plants,RO0097_20241024,29.516241096314847,1,Rodman,-81.8822254176543,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_97_0,1165,567,496,1024,626,1416,3191,3606,4332,3766,3,floating_plants,RO0098_20241024,29.484548375691336,1,Rodman,-81.92152048407759,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_98_0,1008,479,594,1200,678,1702,3262,3737,4460,3974,3,floating_plants,RO0099_20241024,29.52854573064429,1,Rodman,-81.85486579956121,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_99_0,90,58,162,114,74,86,126,141,164,156,2,open_water,RO0100_20241024,29.51745482245193,0,Rodman,-81.90316633678407,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
