run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size,AWEIp95
T-Rod_V-Raw_31px_2026-07-23,31,Rodman,RawaPening,0.1533075046059573,0.2976546475252548,29,0.8731268644332886,0.8811973929405212,0.8292253613471985,0.940119743347168,0.9536906480789183,0.9399753212928772,0.9398663640022278,0.934547245502472,0.945246398448944,0.9856111407279968,0.1684815593910434,0.0027878680764202,9.502732715496968e-06,64,False
T-Rod_V-Win_31px_2026-07-23,31,Rodman,Winam,0.2011396496614657,0.3489537294541745,18,0.8914456963539124,0.8814855217933655,0.9711191058158876,0.8069999814033508,0.9461621642112732,0.9227856397628784,0.9228872060775756,0.9149144291877748,0.9310001730918884,0.9750649333000184,0.1684815593910434,0.0027878680764202,9.502732715496968e-06,64,False
T-Mul_V-Har_31px_2026-07-23,31,Mula,Hartbeespoort,0.1731863585419037,0.3238145573812676,18,0.876968502998352,0.8645720481872559,0.9454976320266724,0.796407163143158,0.954631507396698,0.934546947479248,0.9349880814552308,0.9292598962783812,0.9407873153686525,0.9814836978912354,0.1624074561769746,0.0015751320499779,4.207053950287936e-06,64,False
T-Mul_V-Rod_31px_2026-07-23,31,Mula,Rodman,0.1924898989686808,0.4762947436761435,11,0.8379040360450745,0.8541207313537598,0.7770649790763855,0.9481409192085266,0.9030121564865112,0.9265424609184264,0.9268332719802856,0.9214367866516112,0.93229341506958,0.9770644903182985,0.1624074561769746,0.0015751320499779,4.207053950287936e-06,64,False
T-Mul_V-Inl_31px_2026-07-23,31,Mula,Inle,0.1419310981146896,0.1513734704256057,36,0.9434999823570251,0.9443075656890868,0.9310009479522704,0.9580000042915344,0.9864670038223268,0.9448708295822144,0.9451649785041808,0.9385392665863036,0.951884925365448,0.98743999004364,0.1624074561769746,0.0015751320499779,4.207053950287936e-06,64,False
T-Mul_V-Vem_31px_2026-07-23,31,Mula,Vembanad,0.1372839873148496,0.2390440025410571,39,0.9115884304046632,0.9090909361839294,0.9365079402923584,0.8832335472106934,0.9687774181365968,0.9477507472038268,0.948042333126068,0.941013514995575,0.9551769495010376,0.9884589314460754,0.1624074561769746,0.0015751320499779,4.207053950287936e-06,64,False
T-Mul_V-Val_31px_2026-07-23,31,Mula,Valsequillo,0.2253574918755989,0.2964867262279286,9,0.8617647290229797,0.8620352149009705,0.8603515625,0.863725483417511,0.9461649656295776,0.911898672580719,0.9126006364822388,0.9038398861885072,0.9215328693389891,0.968486785888672,0.1624074561769746,0.0015751320499779,4.207053950287936e-06,64,False
T-Mul_V-Raw_31px_2026-07-23,31,Mula,RawaPening,0.1754384027917769,0.3190666940007414,14,0.8751248717308044,0.8837209343910217,0.8275261521339417,0.9481037855148317,0.948572874069214,0.9316549897193908,0.9316493272781372,0.9299604296684264,0.9333443641662598,0.9812206029891968,0.1624074561769746,0.0015751320499779,4.207053950287936e-06,64,False
T-Mul_V-Win_31px_2026-07-23,31,Mula,Winam,0.2674331903841299,0.3335579603392372,7,0.8674337267875671,0.8510398864746094,0.9717586636543274,0.7570000290870667,0.9473473429679872,0.8899158239364624,0.8905301094055176,0.8840013146400452,0.8971560597419739,0.956762671470642,0.1624074561769746,0.0015751320499779,4.207053950287936e-06,64,False
T-Inl_V-Har_31px_2026-07-23,31,Inle,Hartbeespoort,0.3933442756956498,0.3417855074086527,7,0.8804134130477905,0.8818668127059937,0.8597156405448914,0.9051896333694458,0.9350706338882446,0.8238052129745483,0.8227407932281494,0.8236951231956482,0.8217887282371521,0.9056779146194458,0.1082337977183209,0.0026070247583707,0.007579479953348,64,False
T-Inl_V-Rod_31px_2026-07-23,31,Inle,Rodman,0.2608170253367662,0.4712007978637351,19,0.7967678904533386,0.8112778663635254,0.7578589916229248,0.8727984428405762,0.8622501492500305,0.8916605114936829,0.892201840877533,0.8813723921775818,0.9033007025718688,0.9596110582351683,0.1082337977183209,0.0026070247583707,0.007579479953348,64,False
T-Inl_V-Mul_31px_2026-07-23,31,Inle,Mula,0.4213333398686626,0.5420688365417098,3,0.7089768052101135,0.6496223211288452,0.7785515189170837,0.5573280453681946,0.8212565183639526,0.8128249645233154,0.8099547624588013,0.8211008906364441,0.7991071343421936,0.8909928798675537,0.1082337977183209,0.0026070247583707,0.007579479953348,64,False
T-Inl_V-Vem_31px_2026-07-23,31,Inle,Vembanad,0.3120074676970437,0.423453913553135,12,0.7917082905769348,0.7632027268409729,0.8853754997253418,0.6706587076187134,0.9197405576705932,0.8670714497566223,0.867927610874176,0.8562007546424866,0.8799801468849182,0.9411866664886476,0.1082337977183209,0.0026070247583707,0.007579479953348,64,False
T-Inl_V-Val_31px_2026-07-23,31,Inle,Valsequillo,0.2573893519034257,0.2958599272311902,22,0.8764705657958984,0.8831169009208679,0.8380281925201416,0.9333333373069764,0.9485976696014404,0.8991686701774597,0.9000244736671448,0.8862102031707764,0.9142762422561646,0.9597484469413756,0.1082337977183209,0.0026070247583707,0.007579479953348,64,False
T-Inl_V-Raw_31px_2026-07-23,31,Inle,RawaPening,0.3419136858836478,0.3700674762139906,10,0.8431568145751953,0.8600713014602661,0.7769726514816284,0.9630738496780396,0.9180468916893004,0.8552556037902832,0.8552912473678589,0.8488845229148865,0.8617953658103943,0.9297401905059814,0.1082337977183209,0.0026070247583707,0.007579479953348,64,False
T-Inl_V-Win_31px_2026-07-23,31,Inle,Winam,0.3641130513886724,0.3430159749137541,11,0.838919460773468,0.8373737335205078,0.8459183573722839,0.8289999961853027,0.9307602643966676,0.8430680632591248,0.8439768552780151,0.8331723213195801,0.8550652861595154,0.9186591506004332,0.1082337977183209,0.0026070247583707,0.007579479953348,64,False
T-Vem_V-Har_31px_2026-07-23,31,Vembanad,Hartbeespoort,0.3212563772988094,0.3576205504808838,7,0.8784449100494385,0.8689655065536499,0.9275197982788086,0.817365288734436,0.9262688159942628,0.8599753379821777,0.8582375645637512,0.8645746111869812,0.8519927263259888,0.9371625185012816,0.1441971221583,0.0039325533508369,4.638880140867033e-05,64,False
T-Vem_V-Rod_31px_2026-07-23,31,Vembanad,Rodman,0.2158462027332428,0.5039324497732897,15,0.8246816992759705,0.8417329788208008,0.7677419185638428,0.931506872177124,0.8994724154472351,0.9165911674499512,0.9163570404052734,0.9120644330978394,0.9206902384757996,0.9713106155395508,0.1441971221583,0.0039325533508369,4.638880140867033e-05,64,False
T-Vem_V-Mul_31px_2026-07-23,31,Vembanad,Mula,0.4378819648706858,0.6096139810835532,1,0.7002895474433899,0.6159554719924927,0.8110749125480652,0.4965104758739471,0.766059160232544,0.7933965921401978,0.7928494811058044,0.7934404611587524,0.7922593355178833,0.8782129883766174,0.1441971221583,0.0039325533508369,4.638880140867033e-05,64,False
