test_region,val_region,run_ID,patch_size,loop,epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,AWEIp95,best_epoch
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,11,0.1123241199179715,0.4403087962765418,0.8315377235412598,0.8054298758506775,0.9544236063957214,0.6966732144355774,0.9205143451690674,0.9648369550704956,0.9646238088607788,0.965586006641388,0.9636635184288024,0.9906071424484252,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,12,0.117226741019847,0.6886693649614243,0.7100881338119507,0.6005398035049438,0.967391312122345,0.4354207515716553,0.958673894405365,0.9635162949562072,0.963392436504364,0.9617992639541626,0.9649908542633056,0.9899808764457704,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,13,0.114036636922264,0.3108550004522434,0.8981390595436096,0.9008579850196838,0.8782528042793274,0.9246575236320496,0.9330475330352784,0.9633511900901794,0.963098406791687,0.964862585067749,0.961340606212616,0.990950345993042,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,14,0.1085965067394203,0.2883733033579314,0.872184157371521,0.86080002784729,0.9460726976394652,0.7896282076835632,0.9695627689361572,0.965910017490387,0.965757429599762,0.965197205543518,0.9663182497024536,0.9913100600242616,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,15,0.1102549789005254,0.276827282860627,0.8917727470397949,0.8864920139312744,0.9329729676246644,0.8444226980209351,0.9605080485343932,0.9653322100639344,0.9652087688446044,0.9637717008590698,0.9666500687599182,0.9912047386169434,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,16,0.103831820542341,0.2735104826621047,0.8834475874900818,0.8766839504241943,0.9317180514335632,0.8277886509895325,0.9635154008865356,0.969294250011444,0.969149112701416,0.9688277244567872,0.969470739364624,0.9916770458221436,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,17,0.1003332427185869,0.25340482043823,0.9314397573471068,0.9312376976013184,0.9349112510681152,0.927592933177948,0.9640027284622192,0.9684688448905944,0.9683513045310974,0.9670693278312684,0.969636619091034,0.9930107593536376,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,18,0.1019383951790978,0.4392672684207836,0.8310480117797852,0.802744448184967,0.9656121134757996,0.6868884563446045,0.8947584629058838,0.969376802444458,0.9692397117614746,0.9686775207519532,0.9698025584220886,0.9922854900360109,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,19,0.1033808664858857,0.3074519854626389,0.8682664036750793,0.8586442470550537,0.9273552894592284,0.7994129061698914,0.9595986604690552,0.965910017490387,0.9657971262931824,0.964120388031006,0.967479646205902,0.9923880100250244,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,20,0.0996422390227124,0.2736684858186004,0.8834475874900818,0.8757829070091248,0.9384787678718568,0.8209393620491028,0.9686226844787598,0.9684688448905944,0.9683669805526732,0.9666060209274292,0.9701343774795532,0.9932695031166076,True,17.0
