,run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size
15,T-Mul_V-Rod_15px_2026-07-21,15,Mula,Rodman,0.09279711580671385,0.27978407230363184,9,0.9138100147247314,0.9188939929008484,0.8684669137001038,0.9755381345748901,0.9697924852371216,0.9681159257888794,0.9681370258331299,0.9656595587730408,0.9706273078918457,0.9938498139381409,0.397780892214314,0.0012123634441485443,0.0011762617934974458,64
16,T-Mul_V-Inl_15px_2026-07-21,15,Mula,Inle,0.07655663570279855,0.07229202522616833,12,0.9750000238418579,0.9752230048179626,0.9666011929512024,0.984000027179718,0.9966689944267273,0.9747462272644043,0.9747899174690247,0.9714285731315613,0.97817462682724,0.9955609440803528,0.397780892214314,0.0012123634441485443,0.0011762617934974458,64
17,T-Mul_V-Vem_15px_2026-07-21,15,Mula,Vembanad,0.05141824814366054,0.08735466972514466,24,0.9730269908905029,0.9730538725852966,0.9730538725852966,0.9730538725852966,0.9936516880989075,0.9816756248474121,0.9816922545433044,0.9789473414421082,0.9844525456428528,0.9980195760726929,0.397780892214314,0.0012123634441485443,0.0011762617934974458,64
18,T-Mul_V-Val_15px_2026-07-21,15,Mula,Valsequillo,0.07414419233547276,0.13914647214845116,14,0.9632353186607361,0.9631811380386353,0.9646017551422119,0.9617646932601929,0.983840823173523,0.9744141697883606,0.9744733572006226,0.970544695854187,0.9784339666366577,0.9960033297538757,0.397780892214314,0.0012123634441485443,0.0011762617934974458,64
19,T-Mul_V-Raw_15px_2026-07-21,15,Mula,RawaPening,0.05223061687755427,0.10875936488729793,22,0.962037980556488,0.962338924407959,0.9557086825370789,0.9690618515014648,0.9918603301048279,0.9835740923881531,0.9835740923881531,0.9817103147506714,0.9854449033737183,0.9979248642921448,0.397780892214314,0.0012123634441485443,0.0011762617934974458,64
20,T-Mul_V-Win_15px_2026-07-21,15,Mula,Winam,0.09184604158671426,0.3242360871997028,7,0.8869434595108032,0.8850457668304443,0.9006211161613464,0.8700000047683716,0.9544354677200317,0.9700445532798767,0.9700618386268616,0.9677472710609436,0.9723875522613525,0.9933972358703613,0.397780892214314,0.0012123634441485443,0.0011762617934974458,64
21,T-Inl_V-Har_15px_2026-07-21,15,Inle,Hartbeespoort,0.1846298426156806,0.19648103357300045,3,0.935531497001648,0.933468759059906,0.950361967086792,0.9171656966209412,0.9777106046676636,0.9316443204879761,0.9322572946548462,0.9195882678031921,0.9452801942825317,0.9778742790222168,0.1624074561769746,0.0015751320499779737,4.207053950287936e-06,64
22,T-Inl_V-Rod_15px_2026-07-21,15,Inle,Rodman,0.09988219097576838,0.34697768100912263,9,0.8814887404441833,0.889194130897522,0.8356282114982605,0.9500978589057922,0.9472564458847046,0.9648472666740417,0.9647777080535889,0.959632396697998,0.9699784517288208,0.9928476810455322,0.1624074561769746,0.0015751320499779737,4.207053950287936e-06,64
23,T-Inl_V-Mul_15px_2026-07-21,15,Inle,Mula,0.0870204361737773,0.25398153918130056,9,0.9092664122581482,0.9063745141029358,0.9054726362228394,0.9072781801223755,0.9596775770187378,0.9680613875389099,0.9681140184402466,0.9648546576499939,0.9713954925537109,0.9948655366897583,0.1624074561769746,0.0015751320499779737,4.207053950287936e-06,64
24,T-Inl_V-Vem_15px_2026-07-21,15,Inle,Vembanad,0.12130117498058833,0.09853596706966777,7,0.9685314893722534,0.9688273072242737,0.9607458114624023,0.9770458936691284,0.9928094148635864,0.9554443359375,0.9552755355834961,0.9519041180610657,0.9586708545684814,0.9902227520942688,0.1624074561769746,0.0015751320499779737,4.207053950287936e-06,64
25,T-Inl_V-Val_15px_2026-07-21,15,Inle,Valsequillo,0.11681004951548032,0.15863723074104272,8,0.9495097994804382,0.9502174854278564,0.9370829463005066,0.9637255072593689,0.9814475774765015,0.9572804570198059,0.9571817517280579,0.952545166015625,0.9618636965751648,0.9909886717796326,0.1624074561769746,0.0015751320499779737,4.207053950287936e-06,64
26,T-Inl_V-Raw_15px_2026-07-21,15,Inle,RawaPening,0.06881482467511392,0.11777569445247364,21,0.9605394601821899,0.9607940316200256,0.9555774927139282,0.9660678505897522,0.990992546081543,0.9745630621910095,0.9744393229484558,0.9720348715782166,0.9768556952476501,0.996829628944397,0.1624074561769746,0.0015751320499779737,4.207053950287936e-06,64
27,T-Inl_V-Win_15px_2026-07-21,15,Inle,Winam,0.163895619696677,0.2934202855083485,4,0.8914456963539124,0.8903486728668213,0.8998978734016418,0.8809999823570251,0.9588869214057922,0.9406890869140625,0.9407619833946228,0.9328891634941101,0.9487687945365906,0.9818278551101685,0.1624074561769746,0.0015751320499779737,4.207053950287936e-06,64
28,T-Vem_V-Har_15px_2026-07-21,15,Vembanad,Hartbeespoort,0.12837666100935405,0.17019104256522,8,0.9429134130477905,0.9397715330123901,0.9794372320175171,0.9031935930252075,0.9876586198806763,0.9522830247879028,0.9521925449371338,0.9492194056510925,0.9551844000816345,0.9892524480819702,0.18493564427131048,0.004622589001020831,5.337032762603957e-06,64
29,T-Vem_V-Rod_15px_2026-07-21,15,Vembanad,Rodman,0.10276971160813388,0.28612896060091275,11,0.9069539904594421,0.9134001731872559,0.8549488186836243,0.980430543422699,0.9688644409179688,0.9627007246017456,0.9625650644302368,0.9588409662246704,0.9663182497024536,0.9928743839263916,0.18493564427131048,0.004622589001020831,5.337032762603957e-06,64
30,T-Vem_V-Mul_15px_2026-07-21,15,Vembanad,Mula,0.1036798400840531,0.31169366709974283,7,0.8880308866500854,0.8775079250335693,0.932659924030304,0.8285144567489624,0.9562100172042847,0.9626083374023438,0.962657630443573,0.9595727324485779,0.9657624959945679,0.9929291009902954,0.18493564427131048,0.004622589001020831,5.337032762603957e-06,64
31,T-Vem_V-Inl_15px_2026-07-21,15,Vembanad,Inle,0.12630443582822518,0.092870171578601,10,0.9725000262260437,0.9726775884628296,0.9664363265037537,0.9789999723434448,0.9940799474716187,0.9529006481170654,0.9529276490211487,0.9454841613769531,0.9604893326759338,0.9892558455467224,0.18493564427131048,0.004622589001020831,5.337032762603957e-06,64
