,test_region,val_region,run_ID,patch_size,loop,epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc
10,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,11,0.13954560860739332,0.3209180134867594,0.8790401816368103,0.8819875717163086,0.8618113994598389,0.9031311273574829,0.9472411274909973,0.9508873224258423,0.9509116411209106,0.9456842541694641,0.9561971426010132,0.9870390892028809
11,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,12,0.1358486983090258,0.3572488632363274,0.8986287713050842,0.904033362865448,0.8590308427810669,0.9540117383003235,0.9365968704223633,0.9513000249862671,0.9512315988540649,0.9477845430374146,0.9547038078308105,0.9876244068145752
12,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,13,0.13525082302109495,0.4943485062689786,0.7615083456039429,0.804496169090271,0.6820966601371765,0.980430543422699,0.9197622537612915,0.9524556398391724,0.9524438381195068,0.9479047060012817,0.9570267200469971,0.9877930283546448
13,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,14,0.1315841375576087,0.3006621422893737,0.9020568132400513,0.9060150384902954,0.8716093897819519,0.9432485103607178,0.9473667740821838,0.9535287022590637,0.9534672498703003,0.9499341249465942,0.9570267200469971,0.9882414937019348
14,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,15,0.13252813897740973,0.3255515538747117,0.9030362367630005,0.9090073704719543,0.8570190668106079,0.9677103757858276,0.950329065322876,0.9551795125007629,0.9551351070404053,0.9512837529182434,0.9590177536010742,0.9883747696876526
15,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,16,0.1218242588758567,0.3088905807515199,0.8863859176635742,0.8899430632591248,0.8637200593948364,0.9178082346916199,0.9474329948425293,0.9560874700546265,0.9560257792472839,0.9525613784790039,0.9595155119895935,0.9904451966285706
16,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,17,0.11854645086900538,0.3692306882020425,0.8638589382171631,0.8682464361190796,0.841911792755127,0.8962817788124084,0.927346408367157,0.9579034447669983,0.9578233361244202,0.9548227787017822,0.9608428478240967,0.990847110748291
17,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,18,0.11582237757431836,0.4118472081440319,0.8476983308792114,0.8488089442253113,0.843478262424469,0.854207456111908,0.9180470705032349,0.9597193598747253,0.9596360921859741,0.9567870497703552,0.9625020623207092,0.9909817576408386
18,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,19,0.11800918966682426,0.3198917800018766,0.868756115436554,0.8701550364494324,0.8618042469024658,0.878669261932373,0.9428571462631226,0.9568303823471069,0.9567303657531738,0.9541254043579102,0.9593495726585388,0.9904515743255615
19,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,20,0.1222242926652157,0.3506752494850308,0.8707149624824524,0.8734419941902161,0.856203019618988,0.8913894295692444,0.9414988160133362,0.9561700224876404,0.9560175538063049,0.9545153975486755,0.9575244784355164,0.9902153015136719
